Electorial_Group,Suburb,2020_Population
50106,Albany (South West),38295
50202,Armadale (East Metropolitan),50268
50304,Balcatta (North Metropolitan),44478
50405,Baldivis (South Metropolitan),60243
50502,Bassendean (East Metropolitan),44134
50605,Bateman (South Metropolitan),43927
50702,Belmont (East Metropolitan),48765
50805,Bicton (South Metropolitan),39490
50906,Bunbury (South West),43333
51004,Burns Beach (North Metropolitan),46282
51104,Butler (North Metropolitan),58024
51205,Cannington (South Metropolitan),51354
51304,Carine (North Metropolitan),42189
51401,Central Wheatbelt (Agricultural),38186
51504,Churchlands (North Metropolitan),45190
51605,Cockburn (South Metropolitan),48781
51706,Collie-Preston (South West),43647
51804,Cottesloe (North Metropolitan),44640
51902,Darling Range (East Metropolitan),49580
52006,Dawesville (South West),42143
52102,Forrestfield (East Metropolitan),42901
52205,Fremantle (South Metropolitan),43789
52301,Geraldton (Agricultural),37826
52404,Hillarys (North Metropolitan),42226
52505,Jandakot (South Metropolitan),56469
52604,Joondalup (North Metropolitan),41324
52702,Kalamunda (East Metropolitan),40177
52803,Kalgoorlie (Mining and Pastoral),36192
52903,Kimberley (Mining and Pastoral),36302
53004,Kingsley (North Metropolitan),41590
53105,Kwinana (South Metropolitan),50170
53204,Landsdale (North Metropolitan),48449
53306,Mandurah (South West),44247
53402,Maylands (East Metropolitan),43280
53502,Midland (East Metropolitan),44969
53602,Mirrabooka (East Metropolitan),48053
53701,Moore (Agricultural),37539
53802,Morley (East Metropolitan),45441
53902,Mount Lawley (East Metropolitan),42367
54006,Murray-Wellington (South West),43764
54104,Nedlands (North Metropolitan),47243
54203,North West Central (Mining and Pastoral),28860
54304,Perth (North Metropolitan),55948
54403,Pilbara (Mining and Pastoral),49177
54505,Riverton (South Metropolitan),45033
54605,Rockingham (South Metropolitan),40132
54701,Roe (Agricultural),37640
54804,Scarborough (North Metropolitan),44802
54905,South Perth (South Metropolitan),43657
55005,Southern River (South Metropolitan),51798
55102,Swan Hills (East Metropolitan),52251
55202,Thornlie (East Metropolitan),47570
55306,Vasse (South West),44214
55405,Victoria Park (South Metropolitan),50159
55504,Wanneroo (North Metropolitan),51282
55605,Warnbro (South Metropolitan),49776
55706,Warren-Blackwood (South West),42446
55802,West Swan (East Metropolitan),50824
55905,Willagee (South Metropolitan),40725
